Track name,Artist name,Album,Playlist name,Type,ISRC
Na Ja,Pav Dharia,Na Ja,Favorite Songs,Favorite,INV111700211
Dildaara (Stand By Me),Shafqat Amanat Ali,Ra-One,Favorite Songs,Favorite,INS181103371
Pichle Saat Dinon Mein (Album Version),Farhan Akhtar,Rock On,Favorite Songs,Favorite,INS180908332
Nagada Nagada,Pritam,Jab We Met,Favorite Songs,Favorite,INS180705984
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,Favorite Songs,Favorite,GB28K1400058
Rolling in the Deep,Adele,21,Favorite Songs,Favorite,GBBKS1000335
Levitating,Dua Lipa,Future Nostalgia,Favorite Songs,Favorite,GBAHT1901299
Excuses,AP Dhillon,Excuses,Favorite Songs,Favorite,TCAFN2187787
DESIRES,AP Dhillon,HIDDEN GEMS,Favorite Songs,Favorite,TCAFX2133359
Yellow,Coldplay,Parachutes,Favorite Songs,Favorite,GBAYE0000267
Shayad,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS172000162
Pope Is a Rockstar,SALES,SALES LP,Favorite Songs,Favorite,TCACN1687807
Tum Ho Meri Jaan,Dhruv Kapoor,Tum Ho Meri Jaan,Favorite Songs,Favorite,INO132102411
Loverboy,A-Wall,Loverboy,Favorite Songs,Favorite,QZFZ41979172
Come With Me,Surfaces,Pacifico,Favorite Songs,Favorite,QZJ842001019
Hookah Bar,Himesh Reshammiya,Khiladi 786,Favorite Songs,Favorite,INS181204580
Pain,Josh A,Fearless,Favorite Songs,Favorite,QZ4JJ1931907
Dead and Cold,SadBoyProlific,Dead and Cold,Favorite Songs,Favorite,QZES71818655
And So It Goes,Billy Joel,Storm Front,Favorite Songs,Favorite,USSM18900213
Old Town Road - Remix,Lil Nas X,7 EP,Favorite Songs,Favorite,USSM11902498
Fall in Love with You.,Montell Fish,Fall in Love with You.,Favorite Songs,Favorite,QZNWR2164926
"Doobey (From ""Gehraiyaan"")",OAFF,"Doobey (From ""Gehraiyaan"")",Favorite Songs,Favorite,INS172104567
Forever,Chris Brown,Forever,Favorite Songs,Favorite,USJI10800113
Desi Kalakaar,Yo Yo Honey Singh,Desi Kalakaar,Favorite Songs,Favorite,INS181402052
Faasle,Aditya Rikhari,Faasle,Favorite Songs,Favorite,FRX282191255
Har Ek Pal,Ashu Shukla,Har Ek Pal,Favorite Songs,Favorite,QZK6P2040205
,,,Favorite Songs,Favorite,
Majhail,AP Dhillon,Majhail,Favorite Songs,Favorite,UK5PD2000005
Don't Test,Gurinder Gill,Don't Test,Favorite Songs,Favorite,QZFZ72065071
WAR,AP Dhillon,HIDDEN GEMS,Favorite Songs,Favorite,TCAFX2133377
